,#,participant_id,fluid intelligence
0,1,sub-101309,478.35
1,2,sub-102008,538.08
2,3,sub-102816,510.87
3,4,sub-104416,589.03
4,5,sub-104820,508.03000000000003
5,6,sub-105923,483.28000000000003
6,7,sub-106016,528.62
7,8,sub-107422,570.89
8,9,sub-108121,541.91
9,10,sub-108525,411.54999999999995
10,11,sub-111009,495.77
11,12,sub-111312,554.74
12,13,sub-111514,541.54
13,14,sub-112112,494.23999999999995
14,15,sub-114116,499.64
15,16,sub-114419,540.27
16,17,sub-115219,554.14
17,18,sub-117122,573.55
18,19,sub-118730,495.3
19,20,sub-118831,522.78
20,21,sub-119126,530.33
21,22,sub-119833,515.15
22,23,sub-121921,458.02
23,24,sub-123117,471.29999999999995
24,25,sub-123521,493.71000000000004
25,26,sub-125222,523.48
26,27,sub-125525,436.05
27,28,sub-127832,504.4
28,29,sub-129634,468.61
29,30,sub-129937,460.59
30,31,sub-130013,491.22
31,32,sub-130114,558.22
32,33,sub-130417,464.13
33,34,sub-130821,511.79
34,35,sub-130922,583.8199999999999
35,36,sub-131419,505.13
36,37,sub-131823,537.6299999999999
37,38,sub-133928,506.08
38,39,sub-134627,581.88
39,40,sub-135528,545.43
40,41,sub-135629,502.09000000000003
41,42,sub-139839,573.15
42,43,sub-140117,439.19999999999993
43,44,sub-140824,524.18
44,45,sub-141826,444.20000000000005
45,46,sub-142828,569.3800000000001
46,47,sub-144125,424.27
47,48,sub-144428,520.0
48,49,sub-146836,473.06
49,50,sub-148941,474.61
50,51,sub-151425,550.77
51,52,sub-152427,593.96
52,53,sub-154431,524.94
53,54,sub-155938,484.90000000000003
54,55,sub-156435,595.31
55,56,sub-156536,601.1
56,57,sub-156637,421.65999999999997
57,58,sub-157942,524.29
58,59,sub-158035,516.9300000000001
59,60,sub-158540,521.4300000000001
60,61,sub-159340,450.37
61,62,sub-159441,440.48
62,63,sub-160123,549.01
63,64,sub-160729,542.51
64,65,sub-161832,451.90999999999997
65,66,sub-162733,475.38
66,67,sub-162935,479.56999999999994
67,68,sub-163432,532.3599999999999
68,69,sub-164131,552.72
69,70,sub-164939,485.37
70,71,sub-165638,543.05
71,72,sub-165840,438.35
72,73,sub-168240,499.24
73,74,sub-168745,499.0
74,75,sub-169444,461.99
75,76,sub-172029,459.72999999999996
76,77,sub-175237,622.36
77,78,sub-175338,480.05999999999995
78,79,sub-175742,588.33
79,80,sub-176441,472.53
80,81,sub-177140,547.67
81,82,sub-178243,520.24
82,83,sub-178748,442.7
83,84,sub-179245,472.85
84,85,sub-179548,502.85999999999996
85,86,sub-179952,474.5
86,87,sub-180836,413.26
87,88,sub-182840,530.6800000000001
88,89,sub-186848,425.48
89,90,sub-188347,539.36
90,91,sub-188448,562.65
91,92,sub-188751,560.73
92,93,sub-189349,498.44
93,94,sub-191841,489.18
94,95,sub-194746,457.57000000000005
